batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,epoch,iter,iter_time,learning_rate,lengths,loss,samples,step,time,tokens,total_tokens
,,,,0,46,0.22810919200000512,2e-05,,2.1416492462158203,,46,,11738,11738
47,,,,,,,,11990,,47,47,10.211948237000001,,
,,,,0,47,0.2065421500000042,2e-05,,2.145951747894287,,47,,11990,11990
48,,,,,,,,12245,,48,48,10.422159412,,
,,,,0,48,0.2092455419999908,3e-05,,2.1415462493896484,,48,,12245,12245
49,,,,,,,,12501,,49,49,10.628079712000002,,
,,,,0,49,0.20530378899999846,3e-05,,2.138838291168213,,49,,12501,12501
50,4.696649632409196,1197.741506256843,4.696649632409196,,,,,12752,,50,50,10.83579437200001,,
,,,,0,50,0.2068877520000001,3e-05,,2.139894962310791,,50,,12752,12752
51,4.696925245902397,1197.7159377051114,4.696925245902397,,,,,13007,,51,51,11.046083836999998,,
,,,,0,51,0.20860097699998903,3e-05,,2.1439197063446045,,51,,13007,13007
52,4.689962405388661,1196.8018350404043,4.689962405388661,,,,,13268,,52,52,11.271427914,,
,,,,0,52,0.22444945699999153,3e-05,,2.1490535736083984,,52,,13268,13268
53,4.690447153326366,1196.7340879772698,4.690447153326366,,,,,13520,,53,53,11.479692943000003,,
,,,,0,53,0.20750630400000603,3e-05,,2.1480517387390137,,53,,13520,13520
54,4.681551558189384,1195.5154009719136,4.681551558189384,,,,,13781,,54,54,11.704942707,,
,,,,0,54,0.2244326769999958,3e-05,,2.1564464569091797,,54,,13781,13781
55,4.686089152145696,1196.9610577195006,4.686089152145696,,,,,14035,,55,55,11.912493640999998,,
,,,,0,55,0.20674964799999884,3e-05,,2.1471023559570312,,55,,14035,14035
56,4.683781186617816,1196.6582994952744,4.683781186617816,,,,,14290,,56,56,12.122142752000002,,
,,,,0,56,0.20866057799999282,3e-05,,2.1430954933166504,,56,,14290,14290
57,4.676665419200205,1195.126619984183,4.676665419200205,,,,,14547,,57,57,12.345594379000005,,
,,,,0,57,0.22255447700000275,3e-05,,2.143908739089966,,57,,14547,14547
58,4.675488848355769,1194.4442735452556,4.675488848355769,,,,,14795,,58,58,12.553525531999995,,
,,,,0,58,0.20714733799999863,3e-05,,2.139508008956909,,58,,14795,14795
59,4.6760922453198175,1194.407562090262,4.6760922453198175,,,,,15048,,59,59,12.763438719000007,,
,,,,0,59,0.20919914399999584,3e-05,,2.1412510871887207,,59,,15048,15048
60,4.67649538528751,1194.605974237628,4.67649538528751,,,,,15300,,60,60,12.97110604800001,,
,,,,0,60,0.20681750200000693,3e-05,,2.140989303588867,,60,,15300,15300
61,4.675955241112481,1194.1817119853386,4.675955241112481,,,,,15551,,61,61,13.179703612000012,,
,,,,0,61,0.20776183800001036,3e-05,,2.1411452293395996,,61,,15551,15551
62,4.673393829703693,1193.7183096443148,4.673393829703693,,,,,15802,,62,62,13.394530883999991,,
,,,,0,62,0.21379850899998587,3e-05,,2.140289068222046,,62,,15802,15802
63,4.664797334434048,1192.5697185399044,4.664797334434048,,,,,16062,,63,63,13.620657562999995,,
,,,,0,63,0.2251956190000044,3e-05,,2.1352250576019287,,63,,16062,16062
64,4.673740407492625,1192.9483933981685,4.673740407492625,,,,,16312,,64,64,13.832470329999992,,
,,,,0,64,0.20810116999999195,4e-05,,2.136990785598755,,64,,16312,16312
65,4.703108251696116,1200.2524221930598,4.703108251696116,,,,,16564,,65,65,14.03962141000001,,
,,,,0,65,0.2065145710000138,4e-05,,2.1373636722564697,,65,,16564,16564
66,4.702680647820435,1199.855376715328,4.702680647820435,,,,,16813,,66,66,14.248735405999994,,
,,,,0,66,0.20837133399999175,4e-05,,2.1356828212738037,,66,,16813,16813
67,4.703325710456264,1200.3079185562362,4.703325710456264,,,,,17069,,67,67,14.456509550999996,,
,,,,0,67,0.20686387699998932,4e-05,,2.131654739379883,,67,,17069,17069
68,4.702256363916542,1200.41887461698,4.702256363916542,,,,,17324,,68,68,14.666388461000011,,
,,,,0,68,0.20897070200001622,4e-05,,2.1285836696624756,,68,,17324,17324
69,4.702783818419087,1200.4575510364477,4.702783818419087,,,,,17576,,69,69,14.873169704999995,,
,,,,0,69,0.2060315709999827,4e-05,,2.129329204559326,,69,,17576,17576
70,4.696055627094341,1199.698455917693,4.696055627094341,,,,,17837,,70,70,15.097771819000016,,
,,,,0,70,0.22364159400001427,4e-05,,2.12542724609375,,70,,17837,17837
71,4.688587412297264,1198.2689829428293,4.688587412297264,,,,,18094,,71,71,15.322151984000001,,
,,,,0,71,0.22360786199999438,4e-05,,2.1269431114196777,,71,,18094,18094
